time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/approx_kl,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/std,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/entropy_loss,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean
1488,31,6,234,0.00039293617,0.0,0.2,-0.0032667127612512558,0.9649614691734314,0.0021788477897644043,300,663.7177124023438,0.0003,-1.383607268333435,1333.0984008789062,-140.99946812500002,168.0
1536,32,6,244,0.00013147295,0.0,0.2,-0.0016209585019772987,0.9647372364997864,0.006711423397064209,310,101.0236587524414,0.0003,-1.3831416726112367,204.4793914794922,-156.8768328888889,168.0
1584,33,6,248,1.5895814e-05,0.0,0.2,8.32994782589136e-05,0.964745044708252,0.008669018745422363,320,23.086259841918945,0.0003,-1.3830278038978576,47.227695083618165,-156.8768328888889,168.0
1632,34,6,254,8.245309e-07,0.0,0.2,-5.6220218255020885e-06,0.9647871255874634,0.0013524889945983887,330,223.72850036621094,0.0003,-1.3830710291862487,451.3314727783203,-156.8768328888889,168.0
1680,35,6,263,5.663683e-06,0.0,0.2,-0.00024216684123716802,0.9647997617721558,0.0030546188354492188,340,89.2312240600586,0.0003,-1.383097803592682,180.64902954101564,-162.27655550000003,168.0
1728,36,6,269,1.2045106e-06,0.0,0.2,1.8764039154461898e-05,0.9647940397262573,0.00378495454788208,350,104.25076293945312,0.0003,-1.383102798461914,211.1853286743164,-162.27655550000003,168.0
1776,37,6,273,2.1184484e-05,0.0,0.2,-0.0005902982018596958,0.9647586941719055,0.003428637981414795,360,71.56202697753906,0.0003,-1.383084237575531,145.26935882568358,-162.27655550000003,168.0
1824,38,6,279,7.112572e-05,0.0,0.2,-0.001050914446144091,0.964714527130127,0.001726984977722168,370,110.78519439697266,0.0003,-1.3830401062965394,224.228173828125,-162.27655550000003,168.0
1872,39,6,287,0.00018525247,0.0,0.2,-0.0014942216560788423,0.9646780490875244,-0.00045561790466308594,380,143.97476196289062,0.0003,-1.3829978346824645,290.87694396972654,-169.10332990909092,168.0
1920,40,6,291,7.54185e-05,0.0,0.2,-0.00034138684071276514,0.9646487236022949,0.00010818243026733398,390,107.63967895507812,0.0003,-1.3829634666442872,217.2090057373047,-169.10332990909092,168.0
1968,41,6,296,1.5971562e-05,0.0,0.2,-0.00025207002812095426,0.9647078514099121,-8.893013000488281e-05,400,30.70005989074707,0.0003,-1.3829638600349425,62.6824031829834,-169.10332990909092,168.0
2016,42,6,305,4.4445198e-05,0.0,0.2,-0.0009895483555737883,0.964764416217804,0.0018988847732543945,410,139.90469360351562,0.0003,-1.3830416917800903,282.8147003173828,-167.77832033333334,168.0
2064,43,6,310,8.21054e-06,0.0,0.2,0.00017866889538709074,0.9648149609565735,0.000817716121673584,420,97.6165542602539,0.0003,-1.3830875754356384,197.5019271850586,-167.77832033333334,168.0
2112,44,6,315,0.0001010485,0.0,0.2,-0.0005457561452203663,0.9645785093307495,-0.0023761987686157227,430,17.55197525024414,0.0003,-1.3830477595329285,36.16811103820801,-167.77832033333334,168.0
2160,45,6,321,2.1856278e-05,0.0,0.2,-7.762570498925925e-05,0.964317798614502,0.004870295524597168,440,106.34830474853516,0.0003,-1.3827335000038148,215.23201446533204,-167.77832033333334,168.0
2208,46,6,330,2.22524e-06,0.0,0.2,-0.00013888056091673206,0.9643601179122925,0.0007520914077758789,450,24.112228393554688,0.0003,-1.3825966715812683,49.24598770141601,-166.0348766923077,168.0
2256,47,6,337,2.485638e-05,0.0,0.2,-0.0009472921476117336,0.9645889401435852,0.007366359233856201,460,24.579946517944336,0.0003,-1.3827468395233153,49.985429000854495,-166.0348766923077,168.0
2304,48,6,343,1.1291355e-05,0.0,0.2,0.00016482460002151811,0.9647082090377808,0.0028481483459472656,470,146.77325439453125,0.0003,-1.382959496974945,296.3830108642578,-166.0348766923077,168.0
2352,49,6,354,0.0046185167,0.01041666679084301,0.2,-0.012862352103305597,0.9641223549842834,0.010502755641937256,480,0.5468290448188782,0.0003,-1.382794189453125,1.141498327255249,-160.03193214285716,168.0
